user,text
@xpresskerala,"The life of a python trapped in a plastic net in a paddy field at Edathua in Kuttanad is safe in the hands of Arun C Mohan, a snake rescuer from Vadackal of Alappuzha . @MSKiranPrakash"
@husnainhaider_,Keep learning and keep growing #data #datascience #python #sql #machinelearning #analytics
