title,author,length
Missing Pieces,Peter Grainger,Length: 9 hrs
"Dear Love, I Hate You",Eliah Greenwood,Length: 11 hrs and 45 mins
The Five Graces of Life and Leadership,Gary Burnison,Length: 1 hr and 19 mins
Eragon,Christopher Paolini,Length: 16 hrs and 22 mins
A New Earth,Eckhart Tolle,Length: 9 hrs and 12 mins
A Flicker in the Dark,Stacy Willingham,Length: 11 hrs and 1 min
Going There,Katie Couric,Length: 15 hrs and 27 mins
The Magnolia Palace,Fiona Davis,Length: 11 hrs and 9 mins
Death by Chocolate Chip Cupcake,Sarah Graves,Length: 9 hrs and 49 mins
Free Time,Jenny Blake,Length: 10 hrs and 36 mins
Algorithms to Live By,"Brian Christian,Tom Griffiths",Length: 11 hrs and 50 mins
Sword Diplomacy,Michael Anderle,Length: 8 hrs and 26 mins
Powerful Phrases for Dealing with Difficult People,Renee Evenson,Length: 6 hrs and 53 mins
The Rape of the Mind,Dr. Joost A.M. Meerloo,Length: 10 hrs and 23 mins
A Family of Strangers,Fiona Lowe,Length: 16 hrs and 10 mins
Dying to Be Me,Anita Moorjani,Length: 7 hrs and 52 mins
World War Z: The Complete Edition,Max Brooks,Length: 12 hrs and 9 mins
The Ghost and the Birthday Boy,"Bobbi Holmes,Anna J. McIntyre",Length: 9 hrs and 23 mins
Rhapsodic,Laura Thalassa,Length: 9 hrs and 46 mins
The Little Book That Still Beats the Market,Joel Greenblatt,Length: 3 hrs and 51 mins
Spin,Robert Charles Wilson,Length: 17 hrs and 28 mins
Nothing Is True and Everything Is Possible,Peter Pomerantsev,Length: 8 hrs and 28 mins
Yellow Crocus,Laila Ibrahim,Length: 8 hrs and 21 mins
Bel Canto,Ann Patchett,Length: 11 hrs and 20 mins
Second Chance,Nathan Hystad,Length: 15 hrs and 6 mins
Heartbreak U: The Finale,Johnni Sherri,Length: 11 hrs and 7 mins
All About Me!,Mel Brooks,Length: 15 hrs and 6 mins
One Step Too Far,Lisa Gardner,Length: 11 hrs and 48 mins
Back to One,Eric Ugland,Length: 7 hrs and 54 mins
The Lightmaker's Manifesto,Karen Walrond,Length: 6 hrs and 31 mins
The Fall,"Lucas Marcum,J.F. Holmes",Length: 7 hrs
Two Crazy: Bust a Move,Margaret Lashley,Length: 6 hrs and 12 mins
"Never Eat Alone, Expanded and Updated","Keith Ferrazzi,Tahl Raz",Length: 13 hrs and 49 mins
Ca$hvertising,Drew Eric Whitman,Length: 6 hrs and 17 mins
Killing Sacred Cows,Garrett B. Gunderson,Length: 8 hrs and 11 mins
Less,Andrew Sean Greer,Length: 8 hrs and 17 mins
The Big Picture,Sean Carroll,Length: 17 hrs and 22 mins
Superforecasting,"Philip Tetlock,Dan Gardner",Length: 9 hrs and 45 mins
Final Girls,Riley Sager,Length: 12 hrs and 24 mins
Enchanting the Heiress,Kristi Ann Hunter,Length: 11 hrs and 20 mins
The Checklist Manifesto,Atul Gawande,Length: 6 hrs and 9 mins
Rebecca,Daphné du Maurier,Length: 14 hrs and 48 mins
Lean In,Sheryl Sandberg,Length: 6 hrs and 27 mins
"Friends, Lovers, and the Big Terrible Thing",Matthew Perry,Length: 9 hrs and 45 mins
Independent People,Halldór Laxness,Length: 20 hrs and 56 mins
Head Above Water,CE Ricci,Length: 12 hrs and 22 mins
A Tree Grows in Brooklyn,Betty Smith,Length: 14 hrs and 55 mins
Predictably Irrational,Dan Ariely,Length: 7 hrs and 22 mins
Scaling Up,Verne Harnish,Length: 8 hrs and 49 mins
Invisible Man,Ralph Ellison,Length: 18 hrs and 36 mins
A Life in Parts,Bryan Cranston,Length: 8 hrs and 53 mins
Fractured Earth,Cale Plamann,Length: 9 hrs and 37 mins
A Necessary Heresy,Davis Ashura,Length: 22 hrs and 46 mins
Stolen Focus,Johann Hari,Length: 10 hrs and 12 mins
1-2-3 Magic,Thomas W. Phelan PhD,Length: 7 hrs and 1 min
Difficult Conversations,"Douglas Stone,Bruce Patton,Sheila Heen",Length: 5 hrs and 40 mins
"Don't Sweat the Small Stuff, and It's All Small Stuff",Richard Carlson,Length: 4 hrs
Conversations with Friends,Sally Rooney,Length: 8 hrs and 21 mins
Assata,"Assata Shakur,Angela Davis - foreword",Length: 12 hrs and 18 mins
The Art of Racing in the Rain,Garth Stein,Length: 6 hrs and 56 mins
I'm Thinking of Ending Things,Iain Reid,Length: 5 hrs and 22 mins
The Bear and the Nightingale,Katherine Arden,Length: 11 hrs and 48 mins
Go for No!,"Richard Fenton,Andrea Waltz",Length: 1 hr and 33 mins
The Most Important Thing,Howard Marks,Length: 7 hrs and 9 mins
Hidden Figures,Margot Lee Shetterly,Length: 10 hrs and 47 mins
Brain over Binge,Kathryn Hansen,Length: 10 hrs and 2 mins
Giovanni's Room,James Baldwin,Length: 6 hrs and 49 mins
No Easy Day,"Mark Owen,Kevin Maurer",Length: 6 hrs and 50 mins
Leading Change,John P. Kotter,Length: 6 hrs and 34 mins
Annihilation,Jeff VanderMeer,Length: 6 hrs
Solve for Happy,Mo Gawdat,Length: 11 hrs and 12 mins
A Tale for the Time Being,Ruth Ozeki,Length: 14 hrs and 43 mins
An Unquiet Mind,Kay Redfield Jamison,Length: 2 hrs and 46 mins
Salt to the Sea,Ruta Sepetys,Length: 8 hrs and 47 mins
Bad Feminist,Roxane Gay,Length: 11 hrs and 46 mins
Under One Roof,Ali Hazelwood,Length: 3 hrs and 38 mins
Esperanza Rising,Pam Munoz Ryan,Length: 4 hrs and 42 mins
The Top 10 Distinctions Between Millionaires and the Middle Class,Keith Cameron Smith,Length: 1 hr and 44 mins
Endurance,Alfred Lansing,Length: 10 hrs and 20 mins
Simply Said,Jay Sullivan,Length: 5 hrs and 46 mins
A Head Full of Ghosts,Paul Tremblay,Length: 8 hrs and 49 mins
If We Were Villains,M. L. Rio,Length: 12 hrs and 50 mins
The Forever War,Joe Haldeman,Length: 9 hrs and 18 mins
Star Trek: Picard: No Man's Land,"Kirsten Beyer,Mike Johnson",Length: 1 hr and 39 mins
Deep Work,Cal Newport,Length: 7 hrs and 44 mins
Code Name Verity,Elizabeth Wein,Length: 10 hrs and 3 mins
Journey of Souls,Michael Newton,Length: 11 hrs and 18 mins
The Boys in the Boat,Daniel James Brown,Length: 14 hrs and 24 mins
A Little Life,Hanya Yanagihara,Length: 32 hrs and 51 mins
Year of Yes,Shonda Rhimes,Length: 7 hrs and 4 mins
Homegoing,Yaa Gyasi,Length: 13 hrs and 11 mins
The Kite Runner,Khaled Hosseini,Length: 12 hrs and 1 min
The Things They Carried,Tim O'Brien,Length: 7 hrs and 47 mins
The Hate U Give,Angie Thomas,Length: 11 hrs and 50 mins
Between the World and Me,Ta-Nehisi Coates,Length: 3 hrs and 35 mins
The Hard Thing About Hard Things,Ben Horowitz,Length: 7 hrs and 57 mins
Set for Life,Scott Trench,Length: 8 hrs and 24 mins
The Phoenix Project,"Gene Kim,Kevin Behr,George Spafford",Length: 14 hrs and 46 mins
The Glass Castle,Jeannette Walls,Length: 10 hrs and 25 mins
The Immortal Life of Henrietta Lacks,Rebecca Skloot,Length: 12 hrs and 30 mins
Oh Crap! Potty Training,Jamie Glowacki,Length: 8 hrs and 4 mins
"Creativity, Inc.","Ed Catmull,Amy Wallace",Length: 12 hrs and 52 mins
Designing Your Life,"Bill Burnett,Dave Evans",Length: 6 hrs and 18 mins
Howl's Moving Castle,Diana Wynne Jones,Length: 8 hrs and 34 mins
Hillbilly Elegy,J. D. Vance,Length: 6 hrs and 49 mins
The Power of Moments,"Chip Heath,Dan Heath",Length: 6 hrs and 24 mins
13 Things Mentally Strong People Don't Do,Amy Morin,Length: 6 hrs and 36 mins
Forsaken,Andrew Van Wey,Length: 11 hrs and 41 mins
So Good They Can't Ignore You,Cal Newport,Length: 6 hrs and 28 mins
The Keeper of Lost Things,Ruth Hogan,Length: 8 hrs and 34 mins
Why We Sleep,Matthew Walker,Length: 13 hrs and 52 mins
The Whole Body Reset,"Stephen Perrine,Heidi Skolnik",Length: 6 hrs and 58 mins
The Long Weekend,Gilly Macmillan,Length: 8 hrs and 50 mins
Girls Can Kiss Now,Jill Gutowitz,Length: 7 hrs and 4 mins
The Synergy Solution,"Mark Sirower,Jeff Weirens",Length: 12 hrs and 7 mins
Black Cake,Charmaine Wilkerson,Length: 12 hrs and 2 mins
The Power Broker,Robert A. Caro,Length: 66 hrs and 9 mins
Number the Stars,Lois Lowry,Length: 2 hrs and 45 mins
Open,Andre Agassi,Length: 18 hrs and 4 mins
The Kaiju Preservation Society,John Scalzi,Length: 8 hrs and 2 mins
The Thief,Megan Whalen Turner,Length: 7 hrs and 41 mins
Psycho-Cybernetics,Maxwell Maltz,Length: 12 hrs and 16 mins
The Creature from Jekyll Island,G. Edward Griffin,Length: 24 hrs and 21 mins
Never Give Up,Bear Grylls,Length: 8 hrs and 35 mins
Wicked Heat,Ella Frank,Length: 7 hrs and 8 mins
The Beauty of Dusk,Frank Bruni,Length: 8 hrs and 46 mins
Hunter's Moon,Linsey Hall,Length: 5 hrs and 1 min
1491,Charles C. Mann,Length: 16 hrs and 17 mins
Everybody Writes,Ann Handley,Length: 8 hrs and 44 mins
Blessed Are the Bank Robbers,Chas Smith,Length: 6 hrs and 38 mins
Ecstatic,T.S. Snow,Length: 7 hrs and 19 mins
"Short-Term Rental, Long-Term Wealth",Avery Carl,Length: 4 hrs and 31 mins
A Ghost in the Throat,Doireann Ní Ghríofa,Length: 7 hrs and 51 mins
Playmakers,Mike Florio,Length: 12 hrs and 12 mins
The Wife Between Us,"Greer Hendricks,Sarah Pekkanen",Length: 11 hrs and 30 mins
Children of Time,Adrian Tchaikovsky,Length: 16 hrs and 31 mins
The Girl with the Dragon Tattoo,"Stieg Larsson,Reg Keeland - translator",Length: 16 hrs and 19 mins
Mother of Learning Arc 1,"nobody103,Domagoj Kurmaic",Length: 22 hrs and 55 mins
"Naked, Short and Greedy",Susanne Trimbath,Length: 5 hrs and 45 mins
Playing to Win,"Roger L. Martin,A.G. Lafley",Length: 7 hrs and 9 mins
Capital in the Twenty-First Century,"Thomas Piketty,Arthur Goldhammer - translator",Length: 24 hrs and 58 mins
E-Squared,Pam Grout,Length: 3 hrs and 50 mins
The Magic of Thinking Big,David Schwartz,Length: 9 hrs and 31 mins
Ender's Game,Orson Scott Card,Length: 11 hrs and 57 mins
Imaginable,Jane McGonigal,Length: 16 hrs and 31 mins
Fear Thy Neighbor,Fern Michaels,Length: 8 hrs and 39 mins
Change on the Fly,Maren Moore,Length: 6 hrs and 17 mins
The Great Influenza,John M. Barry,Length: 19 hrs and 26 mins
The Other End of the Leash,Patricia McConnell PhD,Length: 9 hrs and 52 mins
Spirited Situation,Louisa Masters,Length: 7 hrs and 9 mins
Untangled,Lisa Damour,Length: 8 hrs and 37 mins
Nonviolent Communication,Marshall Rosenberg PhD,Length: 5 hrs and 9 mins
Down the Rabbit Hole,Holly Madison,Length: 10 hrs and 51 mins
The Energy Bus,Jon Gordon,Length: 2 hrs and 39 mins
Being Mortal,Atul Gawande,Length: 9 hrs and 3 mins
Bossypants,Tina Fey,Length: 5 hrs and 32 mins
The New Jim Crow,Michelle Alexander,Length: 16 hrs and 57 mins
Drive,Daniel H. Pink,Length: 5 hrs and 53 mins
Captivate,Vanessa Van Edwards,Length: 7 hrs and 28 mins
The Maze Runner,James Dashner,Length: 10 hrs and 50 mins
Tuesdays with Morrie,Mitch Albom,Length: 3 hrs and 42 mins
Holes,Louis Sachar,Length: 4 hrs and 30 mins
The New One Minute Manager,"Ken Blanchard,Spencer Johnson",Length: 1 hr and 27 mins
A Thousand Splendid Suns,Khaled Hosseini,Length: 11 hrs and 43 mins
In Every Mirror She’s Black,Lolá Ákínmádé Åkerström,Length: 12 hrs and 12 mins
Make Love the Bruce Campbell Way,Bruce Campbell,Length: 6 hrs and 17 mins
Moonstruck,Onley James,Length: 8 hrs and 42 mins
Between Family,W.R. Gingell,Length: 8 hrs and 49 mins
Shock Action,Rick Partlow,Length: 8 hrs and 20 mins
In My Dreams I Hold a Knife,Ashley Winstead,Length: 10 hrs and 22 mins
The Happiness Trap,Russ Harris,Length: 12 hrs and 19 mins
She's Unlikeable,Aparna Shewakramani,Length: 5 hrs and 19 mins
"Spice and Wolf, Vol. 1 (Light Novel)",Isuna Hasekura,Length: 4 hrs and 53 mins
Hooked,Emily McIntire,Length: 9 hrs
The Perfect Run,"Maxime J. Durand,Void Herald",Length: 17 hrs and 58 mins
The Lean Startup,Eric Ries,Length: 8 hrs and 38 mins
Matilda,Roald Dahl,Length: 4 hrs and 18 mins
A Brief History of Time,Stephen Hawking,Length: 5 hrs and 46 mins
Conversations with People Who Hate Me,Dylan Marron,Length: 7 hrs and 12 mins
The Devil Never Sleeps,Juliette Kayyem,Length: 6 hrs and 34 mins
The Lady's Mine,Francine Rivers,Length: 15 hrs and 19 mins
"Change Your Paradigm, Change Your Life",Bob Proctor,Length: 5 hrs and 20 mins
The Intersectional Environmentalist,Leah Thomas,Length: 4 hrs and 1 min
Long Walk to Freedom,Nelson Mandela,Length: 27 hrs and 39 mins
Knowing God,J. I. Packer,Length: 10 hrs
One Flew Over the Cuckoo's Nest,"Ken Kesey,Robert Faggen - introduction",Length: 10 hrs and 32 mins
Altogether You: Experiencing Personal and Spiritual Transformation with Internal Family Systems Therapy,Jenna Riemersma,Length: 7 hrs and 35 mins
The Haunting of Hill House,Shirley Jackson,Length: 7 hrs and 27 mins
The Tobacco Wives,Adele Myers,Length: 10 hrs and 18 mins
The Promise,Damon Galgut,Length: 9 hrs and 37 mins
The Red Tent,Anita Diamant,Length: 11 hrs and 50 mins
The Circle Maker,Mark Batterson,Length: 7 hrs and 35 mins
Kings of the Wyld,Nicholas Eames,Length: 17 hrs and 49 mins
Nowhere for Very Long,Brianna Madia,Length: 6 hrs and 31 mins
Lay the Hate,"Jason Anspach,Nick Cole",Length: 8 hrs and 27 mins
Comedy Comedy Comedy Drama,Bob Odenkirk,Length: 7 hrs and 52 mins
The Exorcist,William Peter Blatty,Length: 12 hrs and 51 mins
The Magicians,Lev Grossman,Length: 17 hrs and 24 mins
The Asset,Saul Herzog,Length: 12 hrs and 39 mins
Medical Apartheid,Harriet A. Washington,Length: 19 hrs and 2 mins
Killer View,Roy Johansen,Length: 8 hrs and 32 mins
Anthem,Noah Hawley,Length: 15 hrs and 24 mins
Race Rivalry,S.H. Jucha,Length: 13 hrs and 25 mins
Rule Your Day,Joel Osteen,Length: 2 hrs and 37 mins
And They Lived...,Steven Salvatore,Length: 10 hrs and 4 mins
The Order,Jeremy Robinson,Length: 10 hrs and 40 mins
The Last Kingdom,Bernard Cornwell,Length: 13 hrs and 28 mins
Alexander Hamilton,Ron Chernow,Length: 35 hrs and 58 mins
Catch-22,Joseph Heller,Length: 19 hrs and 58 mins
The Future Is History,Masha Gessen,Length: 16 hrs and 45 mins
Sacrifice,Patrick Underwood,Length: 10 hrs and 2 mins
The Witches' Blade,AK Mulford,Length: 16 hrs and 25 mins
The Devil and the Deep Blue Sea,Elizabeth O'Roark,Length: 9 hrs and 28 mins
Sparring Partners,John Grisham,Length: 10 hrs and 30 mins
Free Spirit,H.A. Wills,Length: 12 hrs and 48 mins
The Counterfeit Climax,"Dave Willis,Ashley Willis",Length: 3 hrs and 46 mins
The Ogress and the Orphans,Kelly Barnhill,Length: 13 hrs and 4 mins
The Sophia Code,Kaia Ra,Length: 15 hrs and 53 mins
Below Zero,Ali Hazelwood,Length: 3 hrs and 43 mins
Killing the Killers,"Bill O'Reilly,Martin Dugard",Length: 9 hrs and 15 mins
The Out-of-Sync Child,Carol Kranowitz,Length: 10 hrs and 17 mins
The Code of the Extraordinary Mind,Vishen Lakhiani,Length: 9 hrs
The Secrets We Share,Edwin Hill,Length: 8 hrs and 54 mins
Small Things Like These,Claire Keegan,Length: 1 hr and 57 mins
Smart Growth,Whitney Johnson,Length: 7 hrs and 36 mins
Untrue Blue,Emma Jameson,Length: 7 hrs and 15 mins
From F-4 Phantom to A-10 Warthog,Steven K Ladd,Length: 12 hrs and 58 mins
The Cost of Discipleship,Dietrich Bonhoeffer,Length: 9 hrs
Hopes and Dreams,PJ Trebelhorn,Length: 6 hrs and 49 mins
Call the Midwife,Jennifer Worth,Length: 12 hrs and 1 min
Critical Failures IX,Robert Bevan,Length: 16 hrs and 27 mins
I Hate You - Don't Leave Me: Third Edition,"Jerold J. Kreisman,Hal Straus",Length: 10 hrs and 32 mins
Six Thinking Hats,Edward de Bono,Length: 4 hrs and 15 mins
Not a Fan (Updated and Expanded),Kyle Idleman,Length: 6 hrs and 13 mins
The Fabric of Civilization,Virginia I. Postrel,Length: 9 hrs and 42 mins
Intermittent Fasting Transformation,Cynthia Thurlow,Length: 7 hrs and 8 mins
Vicious,V. E. Schwab,Length: 9 hrs and 23 mins
This Is Vegan Propaganda,Ed Winters,Length: 8 hrs and 15 mins
The Nineties,Chuck Klosterman,Length: 12 hrs and 39 mins
Happy People Are Annoying,Josh Peck,Length: 6 hrs and 18 mins
In Love,Amy Bloom,Length: 4 hrs and 49 mins
The Magnificent Lives of Marjorie Post,Allison Pataki,Length: 14 hrs and 35 mins
I Was Better Last Night,Harvey Fierstein,Length: 12 hrs and 32 mins
Diamonds and Deadlines,Betsy Prioleau,Length: 9 hrs and 31 mins
The Thorns Remain,"Jennifer Hartmann,Chelley St Clair",Length: 14 hrs and 4 mins
The Oceanography of the Moon,Glendy Vanderah,Length: 10 hrs and 31 mins
Ruthless Crown,Amanda Richardson,Length: 5 hrs and 33 mins
Team of Teams,"Gen. Stanley McChrystal,Tantum Collins,David Silverman,Chris Fussell",Length: 12 hrs and 6 mins
Flow,Mihaly Csikszentmihalyi Ph.D.,Length: 5 hrs and 31 mins
The Poisonwood Bible,Barbara Kingsolver,Length: 15 hrs and 34 mins
The Celestine Prophecy,James Redfield,Length: 8 hrs and 27 mins
In Order to Live,Yeonmi Park,Length: 9 hrs and 37 mins
Prior Affair,Christina C. Jones,Length: 5 hrs and 20 mins
Technical Threat,Julie Trettel,Length: 7 hrs and 9 mins
Dark City (Revised and Expanded Edition),Eddie Muller,Length: 12 hrs and 19 mins
Vows That Bind,"Cynthia Dane,Hildred Billings",Length: 13 hrs and 12 mins
Existentially Challenged,Yahtzee Croshaw,Length: 9 hrs and 10 mins
Fairy Tale,Stephen King,Length: 24 hrs
Not Drinking Tonight,Amanda E. White LPC,Length: 6 hrs and 42 mins
Forward,Andrew Yang,Length: 9 hrs and 17 mins
Flock,Kate Stewart,Length: 10 hrs and 12 mins
Wicked,Gregory Maguire,Length: 19 hrs and 42 mins
Pussy,Regena Thomashauer,Length: 9 hrs and 32 mins
The Shack,William P. Young,Length: 9 hrs and 15 mins
World on Edge,Chris Pike,Length: 6 hrs and 47 mins
Run Like a Pro (Even If You're Slow),"Matt Fitzgerald,Ben Rosario",Length: 8 hrs and 4 mins
Deathly Delinquency,Eva Chase,Length: 7 hrs and 12 mins
The Secret,Kristen Proby,Length: 5 hrs and 37 mins
Act Like You Got Some Sense,Jamie Foxx,Length: 5 hrs and 47 mins
Coach K,Ian O'Connor,Length: 16 hrs and 3 mins
The Anatomy of Anxiety,Ellen Vora,Length: 8 hrs and 7 mins
One Night on the Island,Josie Silver,Length: 10 hrs and 21 mins
Brain-Body Parenting,Mona Delahooke,Length: 10 hrs and 14 mins
Unmissing,Minka Kent,Length: 7 hrs and 36 mins
Drop Acid,David Perlmutter MD,Length: 9 hrs and 12 mins
Code over Country,Matthew Cole,Length: 12 hrs and 10 mins
The Biology of Belief,Bruce H. Lipton PhD,Length: 10 hrs and 24 mins
I Must Betray You,Ruta Sepetys,Length: 7 hrs and 10 mins
On Killing,Lt. Col. Dave Grossman,Length: 10 hrs and 23 mins
Unoffendable,Brant Hansen,Length: 4 hrs and 21 mins
Who,"Geoff Smart,Randy Street",Length: 4 hrs and 47 mins
SuperLife,Darin Olien,Length: 7 hrs and 29 mins
Eleven Rings,"Phil Jackson,Hugh Delehanty",Length: 10 hrs and 27 mins
A Long Walk to Water,Linda Sue Park,Length: 2 hrs and 41 mins
Restart,Gordon Korman,Length: 6 hrs and 51 mins
With the Old Breed,E. B. Sledge,Length: 13 hrs and 58 mins
Rising World,Kris Schnee,Length: 14 hrs and 8 mins
Legacy,James Kerr,Length: 5 hrs and 33 mins
The Sixth Extinction,Elizabeth Kolbert,Length: 9 hrs and 59 mins
13 Hours,"Mitchell Zuckoff,Annex Security Team",Length: 7 hrs and 43 mins
Let My People Go Surfing,"Yvon Chouinard,Naomi Klein",Length: 7 hrs and 59 mins
Stories of Your Life and Others,Ted Chiang,Length: 10 hrs and 23 mins
Shattered,Sloane Kennedy,Length: 8 hrs and 55 mins
The Business Playbook,Chris Ronzio,Length: 3 hrs and 17 mins
The Kybalion,The Three Intiates,Length: 4 hrs and 6 mins
Heretic Spellblade 4,K.D. Robertson,Length: 19 hrs and 4 mins
The Forbidden,Lori Holmes,Length: 11 hrs and 9 mins
Made to Stick,"Chip Heath,Dan Heath",Length: 8 hrs and 37 mins
Switch,"Dan Heath,Chip Heath",Length: 7 hrs and 43 mins
This Is How Your Marriage Ends,Matthew Fray,Length: 9 hrs and 15 mins
Empire of the Scalpel,Ira Rutkow MD,Length: 15 hrs and 22 mins
The Long-Forgotten Winter King,Annette Marie,Length: 8 hrs and 12 mins
Wright That Got Away,K.A. Linde,Length: 9 hrs and 2 mins
One Second After,William R. Forstchen,Length: 13 hrs and 17 mins
Getting Things Done,David Allen,Length: 10 hrs and 23 mins
What Every BODY Is Saying,"Joe Navarro,Marvin Karlins",Length: 7 hrs and 19 mins
Benjamin Franklin: An American Life,Walter Isaacson,Length: 24 hrs and 40 mins
The E-Myth Revisited,Michael E. Gerber,Length: 8 hrs and 5 mins
Getting to Yes,"Roger Fisher,William Ury",Length: 6 hrs and 17 mins
Station Eleven (Television Tie-in),Emily St. John Mandel,Length: 10 hrs and 40 mins
Shantaram,Gregory David Roberts,Length: 42 hrs and 59 mins
Red Notice,Bill Browder,Length: 14 hrs and 7 mins
Beloved,Toni Morrison,Length: 12 hrs and 3 mins
The Hero with a Thousand Faces,Joseph Campbell,Length: 14 hrs and 37 mins
The Outsiders,S. E. Hinton,Length: 5 hrs and 8 mins
Tribe,Sebastian Junger,Length: 2 hrs and 59 mins
A Wrinkle in Time,Madeleine L'Engle,Length: 6 hrs and 27 mins
The Goal,"Eliyahu M. Goldratt,Jeff Cox",Length: 11 hrs and 45 mins
Self-Compassion,Kristin Neff,Length: 8 hrs and 59 mins
Their Eyes Were Watching God,Zora Neale Hurston,Length: 6 hrs and 44 mins
Divergent,Veronica Roth,Length: 11 hrs and 11 mins
"Multipliers, Revised and Updated","Liz Wiseman,Stephen Covey - foreword",Length: 11 hrs and 24 mins
The Road Back to You,"Ian Morgan Cron,Suzanne Stabile",Length: 9 hrs and 17 mins
Genghis Khan and the Making of the Modern World,Jack Weatherford,Length: 14 hrs and 20 mins
Starship Troopers,Robert A. Heinlein,Length: 9 hrs and 52 mins
The Life-Changing Magic of Tidying Up,Marie Kondo,Length: 4 hrs and 50 mins
The Speed of Trust,Stephen M. R. Covey,Length: 12 hrs and 13 mins
Sharp Objects,Gillian Flynn,Length: 9 hrs and 34 mins
Feeling Good,David D. Burns MD,Length: 13 hrs and 20 mins
Freakonomics,"Steven D. Levitt,Stephen J. Dubner",Length: 7 hrs and 51 mins
The Accidental Superpower,Peter Zeihan,Length: 12 hrs and 19 mins
Just Mercy (Movie Tie-In Edition),Bryan Stevenson,Length: 11 hrs and 11 mins
American Psycho,Bret Easton Ellis,Length: 16 hrs and 29 mins
Red Queen,Victoria Aveyard,Length: 12 hrs and 39 mins
Uniquely Average,Susan Hawke,Length: 4 hrs and 26 mins
Turning Red,Cynthea Liu,Length: 3 hrs and 34 mins
How Will You Measure Your Life?,"Clayton M. Christensen,James Allworth",Length: 5 hrs and 28 mins
Lilac Girls,Martha Hall Kelly,Length: 17 hrs and 30 mins
To Sell Is Human,Daniel H. Pink,Length: 6 hrs and 6 mins
The Chief’s Chief,Mark Frank Meadows,Length: 7 hrs and 49 mins
The Heroine's Journey,Maureen Murdock,Length: 7 hrs and 35 mins
The Money Revolution,Richard Duncan,Length: 15 hrs and 21 mins
Human Insanity,KamikazePotato,Length: 17 hrs and 6 mins
The Goodbye Coast,Joe Ide,Length: 12 hrs and 1 min
Watch Her Disappear,Lisa Regan,Length: 11 hrs and 26 mins
How Civil Wars Start,Barbara F. Walter,Length: 7 hrs and 17 mins
Stone Broke Heiress,Danielle Owen-Jones,Length: 8 hrs and 22 mins
Sh*tty Mom,"Karen Moline,Mary Ann Zoellner,Alicia Ybarbo,Laurie Kilmartin",Length: 3 hrs and 15 mins
Our African Unconscious,"Edward Bruce Bynum PhD ABPP,Linda James Myers",Length: 17 hrs and 29 mins
I Am Legend,Richard Matheson,Length: 5 hrs and 20 mins
Unlocking the Keto Code,Steven R. Gundry MD,Length: 6 hrs and 12 mins
The Night Shift,Alex Finlay,Length: 8 hrs and 34 mins
The Shadow of the Gods,John Gwynne,Length: 18 hrs and 14 mins
World of Warcraft: Sylvanas,Christie Golden,Length: 15 hrs and 38 mins
The Fifth Season,N. K. Jemisin,Length: 15 hrs and 27 mins
Raising Men,"Eric Davis,Dina Santorelli - contributor",Length: 6 hrs and 41 mins
The Game,Neil Strauss,Length: 9 hrs and 27 mins
"The First 90 Days, Updated and Expanded",Michael Watkins,Length: 6 hrs and 58 mins
The Handmaid's Tale,Margaret Atwood,Length: 11 hrs and 1 min
Hyperion,Dan Simmons,Length: 20 hrs and 44 mins
The Giver,Lois Lowry,Length: 4 hrs and 49 mins
Building a StoryBrand,Donald Miller,Length: 4 hrs and 56 mins
The Ideal Team Player,Patrick M. Lencioni,Length: 5 hrs and 3 mins
When Breath Becomes Air,"Paul Kalanithi,Abraham Verghese - foreword",Length: 5 hrs and 35 mins
Hatchet,Gary Paulsen,Length: 3 hrs and 42 mins
Unbroken,Laura Hillenbrand,Length: 13 hrs and 56 mins
Antifragile,Nassim Nicholas Taleb,Length: 16 hrs and 14 mins
Charlotte's Web,E. B. White,Length: 3 hrs and 34 mins
Scythe,Neal Shusterman,Length: 10 hrs and 32 mins
The Seat of the Soul,Gary Zukav,Length: 10 hrs and 12 mins
The Last Black Unicorn,Tiffany Haddish,Length: 6 hrs and 29 mins
Too Late,C. Hoover,Length: 13 hrs and 4 mins
The Advantage,Patrick Lencioni,Length: 5 hrs and 25 mins
Why Does He Do That?,Lundy Bancroft,Length: 13 hrs and 32 mins
The Road Less Traveled,M. Scott Peck M.D.,Length: 4 hrs and 23 mins
A Child Called 'It',David Pelzer,Length: 3 hrs and 46 mins
A Darker Shade of Magic,V. E. Schwab,Length: 11 hrs and 34 mins
Infinite Jest,David Foster Wallace,Length: 56 hrs and 12 mins
Hooked: How to Build Habit-Forming Products,"Nir Eyal,Ryan Hoover",Length: 4 hrs and 40 mins
The Empath's Survival Guide,Judith Orloff,Length: 7 hrs and 15 mins
Beqoming,"Azrya Bequer,Benjamin Bequer",Length: 12 hrs and 12 mins
The Secret History,Donna Tartt,Length: 22 hrs and 3 mins
Belly of the Beast,"Da'Shaun L. Harrison,Kiese Laymon - foreword",Length: 3 hrs and 29 mins
God vs. Government,"Nathan Busenitz,James Coates",Length: 5 hrs and 50 mins
The Pursuit of Love,Nancy Mitford,Length: 7 hrs and 38 mins
Campaign of the Century,Irwin F. Gellman,Length: 16 hrs and 6 mins
Into the Wild,Jon Krakauer,Length: 7 hrs and 5 mins
Loving What Is,"Byron Katie,Stephen Mitchell",Length: 9 hrs and 7 mins
The Spanish Daughter,Lorena Hughes,Length: 9 hrs and 42 mins
The Invasion,Ivan Kal,Length: 6 hrs and 33 mins
Electrify,Saul Griffith,Length: 7 hrs and 13 mins
